Household,Neighbourhood,Village,GP,Local,template
0,1,1,0,1,"The local development project is described as ""Fixing of 2 Hand Pump to New Borewell at Ramaji Nayak Tanda in Lingasugur Taluka"". It is located in village Chattar, of gram panchayat Nagalapur in taluk Lingsugur of district Raichur. The estimated cost of the work is Rs. 72000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
1,0,0,1,1,"The local development project is described as ""Estimate for the Construction of Concrete Drain in 2 sides from Govind Raju house to Dhattatreya house in A.Krishnappa nagara, Halanayakanahalli G.P"". It is located in village Halanayakanahalli, of gram panchayat Halanayakanahalli in taluk Bengaluru East of district Bengaluru. The estimated cost of the work is Rs. 300000.0. The current status of the work is described as ""Completion Of Work"" and has taken 1 years. This project is Non-Tendered."
1,0,1,0,1,"The local development project is described as ""SCPProviding 50nos household connections to Sankanahalli village in Nagamangala Taluk"". It is located in village Sankanahalli, of gram panchayat Kanthapura in taluk Nagamangala of district Mandya. The estimated cost of the work is Rs. 400000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""SDP PROVIDING MWS REVIVAL TO CHIKKABOMMENA HALLY VILLAGE (2019 20) TARIGALALE GP ARKALGUD TALUK"". It is located in village Chickbommenahalli, of gram panchayat Tarigalale in taluk Arkalgud of district Hassan. The estimated cost of the work is Rs. 200000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""CABSUBAPDNOTTFC Sinking of Borewell at Kenchanahalli Village in Mandya Taluk"". It is located in village Kenchanahally, of gram panchayat Basaralu in taluk Mandya of district Mandya. The estimated cost of the work is Rs. 65000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""CQAG170517 Drilling of New Borewell at THIPPAGATTA in Kuruvanka GP in Arsikere Taluk"". It is located in village , of gram panchayat Kuruvanka in taluk Arsikere of district Hassan. The estimated cost of the work is Rs. 110000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""Metalling & Asphalting of road from Manuganahalli to T-02 in Mandya taluk @ ch 0.00km to 1.660Km"". It is located in village Manuganahally, of gram panchayat Basaralu in taluk Mandya of district Mandya. The estimated cost of the work is Rs. 5990000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Tendered."
0,0,1,0,0,"The local development project is described as ""Providing MWSS at Singnodi tanda"". It is located in village Singanodi, of gram panchayat Singanodi in taluk Raichur of district Raichur. The estimated cost of the work is Rs. 1500000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
0,0,1,0,0,"The local development project is described as ""Providing Pipeline At Tuku Naik Tanda in Gulbarga Taluka"". It is located in village Srinivasa Saradagi, of gram panchayat Srinivas Saradgi in taluk Kalaburagi of district Kalaburagi. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Drilling of Borewell at Marganakoppa Village in Bailhongal Taluka (Taskforce P-2)"". It is located in village Marganakoppa, of gram panchayat Devarashigihalli in taluk Bailahongal of district Belagavi. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Completion Of Work"" and has taken 2 years. This project is Non-Tendered."
1,0,1,0,1,"The local development project is described as ""Providing FHTCs to 316 Households in Gonnagar habitation of Gonnagar village Ramdurg Taluka through MVS Manihal"". It is located in village Gonnagar, of gram panchayat Gonnagar in taluk Ramdurg of district Belagavi. The estimated cost of the work is Rs. 5275000.0. The current status of the work is described as ""Measurement Stage"" and has taken 2 years. This project is Tendered."
0,0,0,1,0,"The local development project is described as ""REVIVAL OF MWSS AT BALANAPALYA HABITATION IN TARUR GP"". It is located in village Balanapalya, of gram panchayat Tharur in taluk Sira of district Tumakuru. The estimated cost of the work is Rs. 300000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Providing Water Supply Scheme to Sonar Tanda Village in Kalaburagi Taluka"". It is located in village Sonth, of gram panchayat Sonth in taluk Kalaburagi of district Kalaburagi. The estimated cost of the work is Rs. 700000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Drilling of Borewell at Laldhari thanda Village in Humnabad Taluka"". It is located in village Nirna, of gram panchayat Nirna in taluk Humnabad of district Bidar. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
0,0,1,0,0,"The local development project is described as ""Drilling of Borewell at Kamalanagar Village near kancharagatti pond"". It is located in village Kamalanagar(Tanda), of gram panchayat Tadas in taluk Shiggaon of district Haveri. The estimated cost of the work is Rs. 38107.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
0,0,1,0,0,"The local development project is described as ""TFC220217 Drilling Bore Well at Chikkegowdanakopplu Village in Mysore Tq."". It is located in village Yelavala, of gram panchayat Yelawala in taluk Mysuru of district Mysuru. The estimated cost of the work is Rs. 80000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,1,1,0,1,"The local development project is described as ""Repair Of S.C Colony Samudaya Bhavan In Pura Village"". It is located in village Pura, of gram panchayat Sanganal in taluk Kushtagi of district Koppal. The estimated cost of the work is Rs. 52000.0. The current status of the work is described as ""Work Order"" and has taken 1 years. This project is Non-Tendered."
0,1,1,0,1,"The local development project is described as ""Drilling of Bore well and Fixing Hand pump at Paduvani in bargi Gram Panchayath"". It is located in village Paduvani, of gram panchayat Bargi in taluk Kumta of district Uttara Kannada. The estimated cost of the work is Rs. 200000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
1,0,0,1,1,"The local development project is described as ""Providing CC Road from Bari house to Ganapati Vadari house at Kamalapur Village"". It is located in village Kamalapur, of gram panchayat Kamalapur in taluk Kalaburagi of district Kalaburagi. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""SCD-Providing PWS to Cigalli village in Doddabyagathavally G.P in HN PUra Taluk"". It is located in village Chigahalli, of gram panchayat Doddabygathavalli in taluk Holenarsipur of district Hassan. The estimated cost of the work is Rs. 1600000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,1,1,0,1,"The local development project is described as ""Construction of Samudaya Bhavan Near Butti Basavanna Temple at Nirna village in Humnabad Taluka."". It is located in village Nirna, of gram panchayat Nirna in taluk Humnabad of district Bidar. The estimated cost of the work is Rs. 190000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,1,0,"The local development project is described as ""Providing water Supply to Anganavadi inKavanapura Vaddarahalli Habitation in Kavanapura Nagohalli Village in Kailancha Gp in Ramanagara Taluk"". It is located in village Kavanapura, of gram panchayat Kailancha in taluk Ramanagara of district Ramanagara. The estimated cost of the work is Rs. 28900.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
1,0,1,0,1,"The local development project is described as ""Providing and Laying Pipeline from Shivasharanappa Kolli house to Devamma Temple in Dandothi Village"". It is located in village Dandothi, of gram panchayat Dandothi in taluk Chittapur of district Kalaburagi. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Completion Of Work"" and has taken 1 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""REPAIRS TO GOVT. SCHOOL AT TONASANALLI.S. VILLAGE"". It is located in village Tonasanhalli(S), of gram panchayat Tonasnhalli(S) in taluk Chittapur of district Kalaburagi. The estimated cost of the work is Rs. 70000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""SDRF120318 Providing and Fixing 3 Phase Motar to Existing Borewell Near Pujari Vasti at Chavadihal Village in Indi Taluka"". It is located in village Chavadihal, of gram panchayat Chavadihal in taluk Indi of district Vijayapura. The estimated cost of the work is Rs. 200000.0. The current status of the work is described as ""Completion Of Work"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Sinking of borewell 165mm dia at Basavanapura village Jalige GP Devanahalli Taluk"". It is located in village Basavanapura, of gram panchayat Jalige in taluk Devanhalli of district Bengaluru Rural. The estimated cost of the work is Rs. 925000.0. The current status of the work is described as ""Completion Of Work"" and has taken 5 years. This project is Non-Tendered."
0,0,1,1,0,"The local development project is described as ""Repairs to Anganwadi Building in ST Area at Atkur Village in Raichur"". It is located in village Atkoor, of gram panchayat Atkoor in taluk Raichur of district Raichur. The estimated cost of the work is Rs. 60000.0. The current status of the work is described as ""Completion Of Work"" and has taken 1 years. This project is Non-Tendered."
1,0,1,0,1,"The local development project is described as ""Providing 575 FHTCs at YARAZERI Village in MUDDEBIHAL Taluka of VIJAYAPURA District covered under Yarzeri and Other 5 Villages"". It is located in village Yarazari, of gram panchayat Yarazari in taluk nan of district Vijayapura. The estimated cost of the work is Rs. nan. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Tendered."
0,0,1,0,0,"The local development project is described as ""Revival of MWSS at Myaklurahalli and Hosahatti village in hiriyur taluk"". It is located in village Myakalurahalli, of gram panchayat Babbur in taluk Hiriyur of district Chitradurga. The estimated cost of the work is Rs. 1000000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,1,0,"The local development project is described as ""Providing Anganavadi Water Supply to Lingadevarahalli Bovy Colony Village in Hunaseghatta GP, Tiptur Taluk"". It is located in village Lingadevarahalli, of gram panchayat Hunseghatta in taluk Tiptur of district Tumakuru. The estimated cost of the work is Rs. 75000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Rerival to MWS at Itanal village in Saundatti Taluka"". It is located in village Itnal, of gram panchayat Sattigeri in taluk Savadatti of district Belagavi. The estimated cost of the work is Rs. 2000000.0. The current status of the work is described as ""Completion Of Work"" and has taken 4 years. This project is Tendered."
0,0,1,0,0,"The local development project is described as ""Providing Pipeline to R.O unit at Bapur village in Raichur taluka"". It is located in village Bapur, of gram panchayat Singanodi in taluk Raichur of district Raichur. The estimated cost of the work is Rs. 50000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Providing Water Supply Scheme to Ikkalki Village in Aland Taluka"". It is located in village Mogha (B)*, of gram panchayat Mogha (K) in taluk Aland of district Kalaburagi. The estimated cost of the work is Rs. 120000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Sinking of borewell in Nidaghatta village in maddur taluk."". It is located in village Nidacgatta, of gram panchayat Nidaghatta in taluk Maddur of district Mandya. The estimated cost of the work is Rs. 150000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Drilling of BW fixing of Motor and construction of cistern at Bommanahalli village"". It is located in village Bommanahalli, of gram panchayat Bommanahalli in taluk Muddebihal of district Vijayapura. The estimated cost of the work is Rs. 210000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Development To Ranganathaswamy Temple at Babburu in Hiriyur Tq"". It is located in village Babburu, of gram panchayat Babbur in taluk Hiriyur of district Chitradurga. The estimated cost of the work is Rs. 500000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,1,1,0,1,"The local development project is described as ""providing Fixing Cistern and pipe line near laxmi temple at jeevanagi village"". It is located in village Jeevanagi, of gram panchayat Jeevangi in taluk Kamalapur of district Kalaburagi. The estimated cost of the work is Rs. 80000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""sinking of bore well near school at bharamapura village in Hiriyur taluk"". It is located in village Bharamapura, of gram panchayat Imangala in taluk Hiriyur of district Chitradurga. The estimated cost of the work is Rs. 27000.0. The current status of the work is described as ""Completion Of Work"" and has taken 1 years. This project is Tendered."
0,0,1,0,0,"The local development project is described as ""Sinking of BW & Fixing Hand Pump Near Chidanand Goudar Vasti Loni Road at Arjanal Village"". It is located in village Arjanal, of gram panchayat Zalaki in taluk Indi of district Vijayapura. The estimated cost of the work is Rs. 25000.0. The current status of the work is described as ""Completion Of Work"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Revival of PWS Scheme at Ibrahimpur village in Shahapur tq"". It is located in village Ibrahimpur, of gram panchayat Ibrahimpur in taluk Shahpur of district Yadgir. The estimated cost of the work is Rs. 2000000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Tendered."
0,0,1,0,0,"The local development project is described as ""Reapirs Work of RO PLant Unit at Adavihalli Village in Yelaburga Taluka"". It is located in village Adavihalli, of gram panchayat Talakal in taluk Yelburga of district Koppal. The estimated cost of the work is Rs. 400000.0. The current status of the work is described as ""Completion Of Work"" and has taken 2 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""Repairs to Govt Primary School Building at Kyatagondanahalli"". It is located in village Kyathagondanahally, of gram panchayat Kaluvehalli in taluk Challakere of district Chitradurga. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""Improvements to approch road to Hulkal J Village in Shahapur Tq Yadgir Dist"". It is located in village Hulkal (J), of gram panchayat Gulsaram in taluk Shahpur of district Yadgir. The estimated cost of the work is Rs. 500000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""TFC201014 Providing Pipeline Extension to Appenahalli village in Rangapura GP in Arsikere Taluk"". It is located in village Appenahalli, of gram panchayat Rangapura in taluk Arsikere of district Hassan. The estimated cost of the work is Rs. 80000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Revival of PWS Scheme at Dantapur Village in Yadgir Tq. & Dist."". It is located in village Danthapur, of gram panchayat Putpak in taluk Yadgir of district Yadgir. The estimated cost of the work is Rs. 400000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""HYDRO090318 Hydrofacturing 1 borewell at KORLA KUNTE Village in Challakere Taluk"". It is located in village Korlakunte, of gram panchayat Pagadalabande in taluk Challakere of district Chitradurga. The estimated cost of the work is Rs. 16700.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,1,0,"The local development project is described as ""Providing Water Supply Scheme to Anganwadi at Melina Tanda ( Chandapur )"". It is located in village Chamanal, of gram panchayat Chamanal in taluk Shahpur of district Yadgir. The estimated cost of the work is Rs. 75000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
0,0,0,1,0,"The local development project is described as ""Improvements to road from Pamarthidoddi to Agriculture land (Galag road) village in Deodurga Tq"". It is located in village Galag, of gram panchayat Galag in taluk Devadurga of district Raichur. The estimated cost of the work is Rs. 382000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,1,1,0,1,"The local development project is described as ""Sinking of new 165 mm dia Borewell with Hand Pump at Khanapur S H"". It is located in village Khanapur (Sh), of gram panchayat Khanapur (S.H) in taluk Surpur of district Yadgir. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,1,1,0,1,"The local development project is described as ""Sinking of New Borewell with Hand Pump at Karibhavi Village in Shorapur Tq"". It is located in village Karibhavi, of gram panchayat Agni in taluk Surpur of district Yadgir. The estimated cost of the work is Rs. 150000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
0,0,1,0,0,"The local development project is described as ""TFC221116 Providing and Fixing of 3 Phase Motar to Borewell Near Math at Banthanal Village in Indi Taluka"". It is located in village Banthnal, of gram panchayat Tamba in taluk Indi of district Vijayapura. The estimated cost of the work is Rs. 200000.0. The current status of the work is described as ""Completion Of Work"" and has taken 1 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""MRL19-Improvements to road from Shambhunathapura to Cholenahalli via Chowdenahalli, Ankanayakanahally in Arakalagud Tq"". It is located in village Ankanaikanahalli, of gram panchayat Vaddrahalli in taluk Arkalgud of district Hassan. The estimated cost of the work is Rs. 60816000.0. The current status of the work is described as ""Measurement Stage"" and has taken 2 years. This project is Tendered."
0,0,1,0,0,"The local development project is described as ""Revival of PWS in Doddakallahalli Village in Bangarpet Taluk"". It is located in village Doddakallahalli, of gram panchayat nan in taluk Bangarpet of district nan. The estimated cost of the work is Rs. 650000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
0,0,0,1,0,"The local development project is described as ""improvement road at yaragamballi village yelandur taluk"". It is located in village Yaragamballi, of gram panchayat Yeragamballi in taluk Yelandur of district Chamarajanagara. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Revival of MWSS to Dommathamari JHC village"". It is located in village Dommathamari, of gram panchayat Dommathamari in taluk Pavagada of district Tumakuru. The estimated cost of the work is Rs. 800000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
1,0,1,0,1,"The local development project is described as ""Providing FHTC to 74 households for Kylasapura habitation in Bylakuppe village Doddaharave and other 19 Villages MVS scheme in P.Patna Tq(55LPCD)"". It is located in village Bylukuppe, of gram panchayat Bylukuppe in taluk nan of district Mysuru. The estimated cost of the work is Rs. nan. The current status of the work is described as ""Measurement Stage"" and has taken 3 years. This project is Tendered."
0,0,1,0,0,"The local development project is described as ""Providing Installing & Commissioning fully automatic stainless steel body 1000 LPH WPP with O&M Algudu village in Srirangapatna taluk"". It is located in village Alagudu, of gram panchayat Tadagavadi in taluk Shrirangapattana of district Mandya. The estimated cost of the work is Rs. 1200000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Tendered."
0,0,1,0,0,"The local development project is described as ""TFC170417 Drilling of Borewell in Varimasthiholi village of Hukkeri Tq."". It is located in village Hale Mastiholi, of gram panchayat Managutti in taluk Hukkeri of district Belagavi. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Completion Of Work"" and has taken 2 years. This project is Non-Tendered."
0,0,1,1,0,"The local development project is described as ""Providing Pipeline and Tap Connection at Water Supply Scheme to 1st Anganwadi at Hatti Village in Channagiri Taluk (100 Days Campanion)"". It is located in village Hatti, of gram panchayat Bulasagara in taluk Channagiri of district Davanagere. The estimated cost of the work is Rs. 15000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""Providing school water supply to AWC at Islampura village in Emmedoddi GP of Kadur Tq"". It is located in village Yemmedoddi, of gram panchayat Emmedoddi in taluk Kadur of district Chikkamagaluru. The estimated cost of the work is Rs. 150000.0. The current status of the work is described as ""Completion Of Work"" and has taken 3 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Extension Of Pipe Line At Venkateshwar Camp (Disribution)SCP Village In Sindhanur Taluka"". It is located in village Somalapur, of gram panchayat Somlapur in taluk Sindhnur of district Raichur. The estimated cost of the work is Rs. 500000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Cap220217Drilling of bore well at H.K.Halli village in sandur tq."". It is located in village H.K.Halli, of gram panchayat H.K.Halli in taluk Sandur of district Ballari. The estimated cost of the work is Rs. 50000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
0,0,1,0,0,"The local development project is described as ""Providing water supply to HPS Hirelekkihal village in Lingasugur Taluka"". It is located in village Lekkihal (Big), of gram panchayat Upparnandihal in taluk Lingsugur of district Raichur. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Bore well redriling work done near shivarudrappa is agricactur beside at murgod gram"". It is located in village Murgod, of gram panchayat Murgod in taluk Savadatti of district Belagavi. The estimated cost of the work is Rs. 45000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,0,1,1,0,"The local development project is described as ""Providing water supply to Anganawadi at KAVADIMATTI-02 and Other 32 Villages In Muddebihal Taluka of Vijayapur Dist. (33 VILLAGES)ANGANAWADI"". It is located in village Kuntoji, of gram panchayat Kuntoji in taluk Muddebihal of district Vijayapura. The estimated cost of the work is Rs. 495000.0. The current status of the work is described as ""Work Order"" and has taken 2 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""Providing water supply to (School) GHPS HETHENAHALLI School in HETHENAHALLI Village in HETHENAHALLI GP of Tumkur taluk ."". It is located in village Hethenahalli, of gram panchayat Hethenahalli in taluk nan of district Tumakuru. The estimated cost of the work is Rs. nan. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Providing Water Supply Scheme to Turnoor Village in Sedam Taluka"". It is located in village Turnur, of gram panchayat Sindanmadu in taluk Sedam of district Kalaburagi. The estimated cost of the work is Rs. 60000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
1,0,1,0,1,"The local development project is described as ""Providing Pipe Line From Shobhavati House To Rachanna Teli House At Santhpur"". It is located in village Santpur, of gram panchayat Santhpur in taluk Aurad of district Bidar. The estimated cost of the work is Rs. 60000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,1,0,"The local development project is described as ""Providing Water Supply to Anganwadi at Phuldarwadi village in Basavakalyan Taluka."". It is located in village Ujalam, of gram panchayat Ujlambh in taluk Basavakalyan of district Bidar. The estimated cost of the work is Rs. 40000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Sinking of Borewell and Fixing Hand Pump at Bhogapur Village in Sindhanur Taluka"". It is located in village Bhogapur, of gram panchayat Gunda in taluk Sindhnur of district Raichur. The estimated cost of the work is Rs. 70000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,1,0,"The local development project is described as ""Providing Water Supply Scheme to Anganavadi of Kavalahosahalli Village in Byagadadenahalli GP in Anekal Taluk"". It is located in village Kaval Hosahalli, of gram panchayat Byagadadenahalli in taluk Anekal of district Bengaluru. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""(TFC NAC 2018) Revival of MWS in Haroshivanahalli village in Uyyamballi Gp in Kanakapura Tq"". It is located in village Haroshivanhalli, of gram panchayat Uyyamballi in taluk Kanakapura of district Ramanagara. The estimated cost of the work is Rs. 450000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Sinking of Borewell at Aravindashrama village in Alilughatta GP in Gubbi Taluk"". It is located in village Alilagatta, of gram panchayat Alilaghatta in taluk Gubbi of district Tumakuru. The estimated cost of the work is Rs. 350000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Internal Electrification to pumphouse at shivadenahalli village"". It is located in village Thimmasandra, of gram panchayat Lakkondahalli in taluk Hoskote of district Bengaluru Rural. The estimated cost of the work is Rs. 900000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
0,0,1,0,0,"The local development project is described as ""Drilling of Borewell in Karaguppi Village in Hukkeri Taluka"". It is located in village Bassapur, of gram panchayat Bassapur in taluk Hukkeri of district Belagavi. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Augmentation of MWS Scheme at Marijogidoddi Village in Malavali Tq."". It is located in village Ganalu, of gram panchayat Byadarahalli in taluk Malvalli of district Mandya. The estimated cost of the work is Rs. 450000.0. The current status of the work is described as ""Completion Of Work"" and has taken 3 years. This project is Non-Tendered."
