Household,Neighbourhood,Village,GP,Local,template
0,0,1,0,0,"The local development project is described as ""PROVIDING BORE WELL WITH HAND PUMP TO ANGANWADI AT WADERATTI - 369 (ANGANWADI 2013-14)"". It is located in village Waderahatti, of gram panchayat Waderahatti in taluk Gokak of district Belagavi. The estimated cost of the work is Rs. 60000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
0,0,1,0,0,"The local development project is described as ""TFC18052018 CNR Providing Drilling of Borewell near Puttanapura Road Syed Land at Nagavally Village in Chamarajanagar Taluk"". It is located in village Nagavalli, of gram panchayat Nagavalli in taluk Chamarajanagar of district Chamarajanagara. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,1,1,0,1,"The local development project is described as ""Providing pipe line & taps from Jangli Sab Darga -Appanadoddi road near Darga at Yapaladinni Village of Raichur Taluka of Raichur Dist."". It is located in village Yapaldinni, of gram panchayat Yapaldinni in taluk Raichur of district Raichur. The estimated cost of the work is Rs. 20000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
0,0,1,1,0,"The local development project is described as ""Providing water supply to anganavadi to Hosahalli"". It is located in village Hosahalli, of gram panchayat Nagathibelagalu in taluk Bhadravati of district Shivamogga. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Completion Of Work"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Providing Borewell and pipeline at Shettibailu village in Humcah GP"". It is located in village Humcha, of gram panchayat Humcha in taluk Hosanagara of district Shivamogga. The estimated cost of the work is Rs. 98000.0. The current status of the work is described as ""Completion Of Work"" and has taken 2 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Improvements of mukabasappa tank in molakalmur taluk"". It is located in village Santegudda, of gram panchayat Santegudda in taluk Molakalmuru of district Chitradurga. The estimated cost of the work is Rs. 300000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""PWS Augmentation at Atiwal village in Humnabad Taluka."". It is located in village Atiwal, of gram panchayat Dakulgi in taluk Humnabad of district Bidar. The estimated cost of the work is Rs. 500000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
0,0,1,0,0,"The local development project is described as ""Repairs to WPP at Chigatere village in Harapanahalli tq"". It is located in village Chigateri, of gram panchayat Chigateri in taluk Harapanahalli of district Ballari. The estimated cost of the work is Rs. 19000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
1,0,1,0,1,"The local development project is described as ""Providing FHTC to 4 number of households in Bilibailu Habitations of Kaliya Village & GP of Belthangady Tq in DK District. by"". It is located in village Kaliya, of gram panchayat Kaliya in taluk Beltangadi of district Dakshina Kannada. The estimated cost of the work is Rs. 950000.0. The current status of the work is described as ""Measurement Stage"" and has taken 2 years. This project is Tendered."
0,0,1,0,0,"The local development project is described as ""Revival of MWS Scheme in Saraguru village in Kollegal Tq"". It is located in village Saragooru, of gram panchayat Dhanagere in taluk Kollegala of district Chamarajanagara. The estimated cost of the work is Rs. 600000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Tendered."
0,0,1,1,0,"The local development project is described as ""Repairs to door windows and balsnehi wall painting to anganwadi at 1)kadatal tanda 2) kadatal center no 1 at kadatal village in sedam taluka"". It is located in village Kadtal, of gram panchayat Madana in taluk Sedam of district Kalaburagi. The estimated cost of the work is Rs. 72000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""CQAG170517 Drilling of New Borewell at MUDUDI GOLLARAHALLI in Mududi GP in Arsikere Taluk"". It is located in village , of gram panchayat Mududi in taluk Arsikere of district Hassan. The estimated cost of the work is Rs. 110000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Sinking of New Borewell to SC Colony at Bilhar Village in Shahapur Taluka"". It is located in village Bilhar, of gram panchayat Bilhar in taluk Shahpur of district Yadgir. The estimated cost of the work is Rs. 65000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""TF27032020 Providing and Sinking borewell to MWS Scheme in Manipura village in Byrapura GP in Alur Thaluk"". It is located in village Byba Kaval, of gram panchayat Byrapura in taluk Alur of district Hassan. The estimated cost of the work is Rs. 90000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
1,0,1,0,1,"The local development project is described as ""Laying of Slab on Drainage from Radhamma House to Lakshmamma House at Dommasandra Village Sheegehalli GP Bang East"". It is located in village Dommasandra, of gram panchayat Sheegehalli in taluk Bengaluru East of district Bengaluru. The estimated cost of the work is Rs. 75000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,1,1,0,1,"The local development project is described as ""TFC080319 Drilling of 2 Borewell and Fixing of Handpump at Basavarajapura Village in K.R.Nagar Tq"". It is located in village Basavarajapura, of gram panchayat Lalandevanahalli in taluk Krishnarajanagara of district Mysuru. The estimated cost of the work is Rs. 170000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Sinking of 165 mm borewell at R Hosally Tanda in Yadgir Tq"". It is located in village R.Hosalli, of gram panchayat Haligera in taluk Yadgir of district Yadgir. The estimated cost of the work is Rs. 75000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,1,1,0,1,"The local development project is described as ""Drilling of bw and fixing HP set at rs no787/1 in Balaganur viilage in Gadag"". It is located in village Balaganur, of gram panchayat Balaganur in taluk Gadag of district Gadag. The estimated cost of the work is Rs. 95565.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Providing MWS Revival @ SALHUNSE G.HATTY village in hiriyur taluk"". It is located in village Salahunse Gollarahatti, of gram panchayat Burujinaroppa in taluk Hiriyur of district Chitradurga. The estimated cost of the work is Rs. 1000000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Providing MVS line to Gunjalli village"". It is located in village Gunjalli , of gram panchayat Gunjalli in taluk Sindhnur of district Raichur. The estimated cost of the work is Rs. 250000.0. The current status of the work is described as ""Technical Approval"" and has taken 1 years. This project is Unknown."
0,0,1,0,0,"The local development project is described as ""Drilling of bore well 165mm dia at Theradahalli Village in Savanur Taluk"". It is located in village Tevaramallalli, of gram panchayat Tevaramellihalli in taluk Savanur of district Haveri. The estimated cost of the work is Rs. 76000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""Providing drinking water supply to School builiding in GHPS BADAMARANAHALLI HANDIKUNTE GP"". It is located in village Badamaranahalli, of gram panchayat Handikunte in taluk nan of district Tumakuru. The estimated cost of the work is Rs. nan. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""Construction of CC Road at Kadanakupee in Ramanagara Taluk"". It is located in village Bannikuppe, of gram panchayat Bannikuppe (K) in taluk Ramanagara of district Ramanagara. The estimated cost of the work is Rs. 1000000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""CAP-2013-14 Drilling of Borewell At Maralli Village"". It is located in village Maaralli, of gram panchayat Dinnalli in taluk Kollegala of district Chamarajanagara. The estimated cost of the work is Rs. 40000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""Improvments to Kachohalli Kere at Kachohalli G.P., Banglaore North Taluk"". It is located in village Kachohalli, of gram panchayat Kachohalli in taluk Bengaluru North of district Bengaluru. The estimated cost of the work is Rs. 89000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,1,0,1,1,"The local development project is described as ""PROVIDING CC ROAD IN GUDDE ANGADI SC COLONY , ALEVOORU G.P IN UDUPI TALUK"". It is located in village Alevoor , of gram panchayat Alevoor in taluk Udupi of district Udupi. The estimated cost of the work is Rs. 1000000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Providing Water Supply Scheme to Kumasi Village in Kalaburagi Taluka"". It is located in village Kumasi, of gram panchayat Kumasi in taluk Kalaburagi of district Kalaburagi. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,1,0,"The local development project is described as ""Providing WSS to Anganawadi Building at Byloor-2 in Bellary tq"". It is located in village Byluru, of gram panchayat Sindigeri in taluk Ballari of district Ballari. The estimated cost of the work is Rs. 60000.0. The current status of the work is described as ""Work Order"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Sinking of bore well at P.D.kote sakkara village near kere kodi in Hiriyur taluk"". It is located in village P.D.Kote, of gram panchayat P.D.Kote in taluk Hiriyur of district Chitradurga. The estimated cost of the work is Rs. 74000.0. The current status of the work is described as ""Completion Of Work"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Revival W/S Scheme to Shahabandr (Lagamapur) village of Hukkeri Tq."". It is located in village Shahabandar, of gram panchayat Shahabandar in taluk Hukkeri of district Belagavi. The estimated cost of the work is Rs. 280000.0. The current status of the work is described as ""Completion Of Work"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""SCP Constructing of OHT Tank and Providng Pipeline at Beeranur Village in Shahapur Tq."". It is located in village Beernur, of gram panchayat Beeranura in taluk Shahpur of district Yadgir. The estimated cost of the work is Rs. 2500000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Tendered."
0,0,1,0,0,"The local development project is described as ""TFCZP220217 Drilling of New Borewell at Hanumarahalli village in Shiggaon Taluk of Haveri District. ( Inside Bankapur road)"". It is located in village Hanumarahalli, of gram panchayat Hanumarahalli in taluk Shiggaon of district Haveri. The estimated cost of the work is Rs. 98000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,1,1,0,1,"The local development project is described as ""Const of CD near PKPS bank soralli village"". It is located in village Soralli, of gram panchayat Wadgaon (D) in taluk Aurad of district Bidar. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
0,0,1,0,0,"The local development project is described as ""Sinking of Borewellat Salagunda village in Sindhanur taluka of Raichur District"". It is located in village Salgunda, of gram panchayat Salagunda in taluk Sindhnur of district Raichur. The estimated cost of the work is Rs. 40000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
1,0,0,1,1,"The local development project is described as ""IMPROVEMENTS OF ROAD FROM VIBHUTI HOUSE TO PATTAR HOUSE AT NELOGI VILLAGE IN NELOGI GP OF JEWARGI TALUKA"". It is located in village Nelogi, of gram panchayat Nelogi in taluk Jevargi of district Kalaburagi. The estimated cost of the work is Rs. 65000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""Renewal of 80Badadubettu Dhasharatha Nagar 1 to 11 cross in 80Badagubettu GP in Udupi taluk"". It is located in village 80 Badagubetu , of gram panchayat 80 Badagubettu in taluk Udupi of district Udupi. The estimated cost of the work is Rs. 400000.0. The current status of the work is described as ""Completion Of Work"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Purchasing.of.watersupply.material.at.katakchincholi"". It is located in village Khatakchincholi, of gram panchayat Khatakchincholi in taluk Bhalki of district Bidar. The estimated cost of the work is Rs. 125000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
0,0,1,1,0,"The local development project is described as ""REPAIRS TO ANGANWADI BUILDING IN HARIJANWADA AT SATNOOR VILLAGE OF CHITTAPUR TALUKA"". It is located in village Satnoor, of gram panchayat Satnoor in taluk Chittapur of district Kalaburagi. The estimated cost of the work is Rs. 50000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""DEEPENING OF BOREWELL AT YADALADAKU B.W.1 (KERE) HAB IN HOSAHALLI GP"". It is located in village Yadaladaku, of gram panchayat Yadaladaku (Hosahalli) in taluk Sira of district Tumakuru. The estimated cost of the work is Rs. 95000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
1,0,1,0,1,"The local development project is described as ""Construction Of drain in ward No-03 Gondikeri Tanda Ramesh house to Biku House At srinivassaradgi Villege"". It is located in village Srinivasa Saradagi, of gram panchayat Srinivas Saradgi in taluk Kalaburagi of district Kalaburagi. The estimated cost of the work is Rs. 50000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
0,0,1,0,0,"The local development project is described as ""TFC241218 Sinking of bore well and Providing Pipeline to PWS Scheme at Vadesamudra village in Pandavapura Taluk"". It is located in village Vadesamudra, of gram panchayat Kanaganamaradi in taluk Pandavapura of district Mandya. The estimated cost of the work is Rs. 150000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,1,0,0,1,"The local development project is described as ""Instalation of Hand Pump at Ramnagar village in Ramnagar Panchayat of Joida Taluka"". It is located in village Ramnagar, of gram panchayat Ramanagar in taluk Supa of district Uttara Kannada. The estimated cost of the work is Rs. 35000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Drilling of 165mm Dia Bore well At Ramanakoppa"". It is located in village Ramanakoppa, of gram panchayat Ramanakoppa in taluk Kundgol of district Dharwar. The estimated cost of the work is Rs. 146098.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,1,1,0,1,"The local development project is described as ""Providing and sikking of borewell and fixing hand pump near basappa mang samaghi at hasaragunadai viallge in afzalpur taluka"". It is located in village Hasargundagi, of gram panchayat Hasargundagi in taluk Afzalpur of district Kalaburagi. The estimated cost of the work is Rs. 84000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Sinking of Borwell for source near Beernur Road at Parsapur village in Shahapur Taluka"". It is located in village Parsapur, of gram panchayat Beeranura in taluk Shahpur of district Yadgir. The estimated cost of the work is Rs. 65000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Providing Internal wiring to Pump House M.W.S. Scheme at Rameshwara Village in Hadripur G.P.,"". It is located in village Rameswara, of gram panchayat Hadripura in taluk Dodballapur of district Bengaluru Rural. The estimated cost of the work is Rs. 25000.0. The current status of the work is described as ""Completion Of Work"" and has taken 5 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""TFC180518Sinking of bore well at Chowdenahalli village in kr pet taluk"". It is located in village Chowdenahally, of gram panchayat Chowdenahally in taluk Krishnarajpet of district Mandya. The estimated cost of the work is Rs. 90000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""const. of road from Awarad (B) to Kagganmadi village in Kalaburagi taluka"". It is located in village Kalmood, of gram panchayat Kalmood in taluk Kalaburagi of district Kalaburagi. The estimated cost of the work is Rs. 50000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
0,0,1,0,0,"The local development project is described as ""Providing pipeline sinking of borewell and fixing single phase motor to Basavattige village in Nanjangud Taluk"". It is located in village Basavattige, of gram panchayat Hedathale in taluk Nanjangud of district Mysuru. The estimated cost of the work is Rs. 32500.0. The current status of the work is described as ""Completion Of Work"" and has taken 2 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Constn of Water Purification Unit works at Honnamaradi in Davangere Taluk"". It is located in village Honnamaradi, of gram panchayat Kukkawada in taluk Davanagere of district Davanagere. The estimated cost of the work is Rs. 703000.0. The current status of the work is described as ""Completion Of Work"" and has taken 2 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Repairs to ANM Sub-Center at Siddeshwar village in Bhalki Taluka."". It is located in village Siddeshwar, of gram panchayat Siddeshwar in taluk Bhalki of district Bidar. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Completion Of Work"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Sinking of New Borwell with Single Phase Motor with Pipeline at Hoskera Gudi Tanda in Shahapur Taluka"". It is located in village Hosakera, of gram panchayat Hosakera in taluk Shahpur of district Yadgir. The estimated cost of the work is Rs. 500000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""(2013-14)Providing PWS Scheme at Ayarahalli Village in Mysore Taluk"". It is located in village Ayarahalli, of gram panchayat Devalapura in taluk Mysuru of district Mysuru. The estimated cost of the work is Rs. 2200000.0. The current status of the work is described as ""Administrative Approval"" and has taken 1 years. This project is Unknown."
0,0,1,0,0,"The local development project is described as ""SDP Providing PWS scheme to Mavinakere Village in Nagamangala Taluk."". It is located in village Mavinakere, of gram panchayat Bhimanahalli in taluk Nagamangala of district Mandya. The estimated cost of the work is Rs. 600000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
1,0,1,0,1,"The local development project is described as ""water supply work done near nagappa badarawadi house to ramappa jadali at rajanakatti"". It is located in village Iranatti, of gram panchayat Madaval in taluk Gokak of district Belagavi. The estimated cost of the work is Rs. 30000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
1,0,1,0,1,"The local development project is described as ""GEN- Providing House hold connection and Additional Pipe line network at Guruvnapura Village in Gundlupet Taluk"". It is located in village Guruvinapura, of gram panchayat Balachavadi in taluk Gundlupet of district Chamarajanagara. The estimated cost of the work is Rs. 600000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Tendered."
0,0,1,0,0,"The local development project is described as ""Drilling of borewell in Kalagonda village (Vaddinakere) in Hirekerur taluk (SDP)"". It is located in village Kalagonda, of gram panchayat Abalur in taluk Hirekerur of district Haveri. The estimated cost of the work is Rs. 90000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,1,1,0,1,"The local development project is described as ""Const of Cattle Through and Pipe Line Near Pochamma Temple at Jojana Village"". It is located in village Jojna, of gram panchayat Jojana in taluk Aurad of district Bidar. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Completion Of Work"" and has taken 2 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Drilling of New Borewell at Hirehalli village in Byadagi Taluk of Haveri district(Near Loni Matha Swamiji House)"". It is located in village Hirehalli, of gram panchayat Hirehalli in taluk Byadgi of district Haveri. The estimated cost of the work is Rs. 139000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""Providing drinking water supply to GHPS School at Bedarashivanakere Village in Chitradurga Taluk"". It is located in village Basavanashivanakere, of gram panchayat Byalahalu in taluk Chitradurga of district Chitradurga. The estimated cost of the work is Rs. 98000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,1,0,"The local development project is described as ""Providing Drinking water supply to Anganavadi at IIngalkuppe"". It is located in village Ingalakuppe, of gram panchayat Tirumalasagara in taluk Pandavapura of district Mandya. The estimated cost of the work is Rs. 40000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
0,0,1,0,0,"The local development project is described as ""TFC080319 Drilling of borewell in Katenahalli village"". It is located in village Katenahalli, of gram panchayat Katenahalli in taluk Haveri of district Haveri. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""Providing Road from Govind Temple to Gouder Keri at Todur Village in Karwar Taluk."". It is located in village Thoduru Majeregalusavanal, of gram panchayat Thoduru in taluk Karwar of district Uttara Kannada. The estimated cost of the work is Rs. 200000.0. The current status of the work is described as ""Administrative Approval"" and has taken 1 years. This project is Unknown."
0,1,1,0,1,"The local development project is described as ""TFCZP170417 MWS revival at Madaga Masur village (Near Darga and temple)in HKR Tq"". It is located in village Masur, of gram panchayat Masur in taluk Hirekerur of district Haveri. The estimated cost of the work is Rs. 350000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Providing water supply scheme to Kalmood in Kalaburagi Taluka"". It is located in village Kalmood, of gram panchayat Kalmood in taluk Kalaburagi of district Kalaburagi. The estimated cost of the work is Rs. 3500000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""TFC 13-3-15 Drilling of New borewell @ Hirekounshi village"". It is located in village Hirekanshi, of gram panchayat Gondi in taluk Hanagal of district Haveri. The estimated cost of the work is Rs. 85000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
1,0,0,1,1,"The local development project is described as ""construcation of cc road from anantha reddy house to bannappa house at chinnakar"". It is located in village Chinnakar, of gram panchayat Chinnakar in taluk Gurumuitkal of district Yadgir. The estimated cost of the work is Rs. 50000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
1,0,0,1,1,"The local development project is described as ""Improvements to Anand ravat house to Raghavendra Vasu Banavalikar House road in Belekeri panchayat at Ankola taluk"". It is located in village Belikeri, of gram panchayat Belekeri in taluk Ankola of district Uttara Kannada. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Installation of R.O Unit at Dasharathkoppa village in Hangal taluk"". It is located in village Dasharathakoppa, of gram panchayat Kopparashikoppa in taluk Hanagal of district Haveri. The estimated cost of the work is Rs. 1200000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""Formation of road connecting from Kenchanahalli to Doddahalli village under Dy.38 of HRBHLC"". It is located in village Doddahalli, of gram panchayat Doddahalli in taluk Holenarsipur of district Hassan. The estimated cost of the work is Rs. 2222000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,1,1,0,1,"The local development project is described as ""Sinking of borewell and fixing of Hand pump at B.R. Gunda Danadadoddi village in Deodurga taluka"". It is located in village Bhogiramangunda, of gram panchayat Somanamaradi in taluk Devadurga of district Raichur. The estimated cost of the work is Rs. 70000.0. The current status of the work is described as ""Completion Of Work"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Providing Electricals work to water supply scheme to Nagalapura"". It is located in village Nagalapura, of gram panchayat Soolur in taluk Kolar of district Kolar. The estimated cost of the work is Rs. 1000000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Providing water supply scheme to Banhatti village in Chittapur Taluka"". It is located in village Bannatti, of gram panchayat Sannati in taluk Chittapur of district Kalaburagi. The estimated cost of the work is Rs. 115000.0. The current status of the work is described as ""Work Order"" and has taken 1 years. This project is Non-Tendered."
0,1,1,0,1,"The local development project is described as ""TFC190316 Drilling of anew bore well and fixing of a hand pump at Hagaluru village at Hagalur"". It is located in village Hagaluru, of gram panchayat H. Hosahalli in taluk Siruguppa of district Ballari. The estimated cost of the work is Rs. 75000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""ADG240517 Sinking of Borewell Near Durga Temple at Kandaganur Village in Muddebihal Taluka of Vijayapur Dist."". It is located in village Kandaganur, of gram panchayat Yarazari in taluk Muddebihal of district Vijayapura. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Completion Of Work"" and has taken 1 years. This project is Non-Tendered."
